Data_registro;Hora;Ano;Mês;Dia;Familia;Especie;Nome_comum;Origem;Cor;Localidade;Município;Tipo_registro;Precisão da Coordenada;Observação;Identificador;Latitude_Y;Longitude_X;lat;lon;Rodovia;Rodovia_ou_Local
27/06/2024;;2024;6;27;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;;RSC473;;Vestígio;Exata;;Tatiane Trigo;-31,4711;-53,6536;-31.4711;-53.6536;RSC-473;RSC-473
05/08/2024;;2024;8;5;Felidae;Herpailurus yagouaroundi;Gato-mourisco;Silvestre;;BR290, Rio Pardo;;Vestígio;Exata;;Tatiane Trigo;-30,2200;-52,6030;-30.22;-52.603;BR-290;BR-290
19/07/2024;;2024;7;19;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;;;;Vestígio;Exata;;Tatiane Trigo;-31,6370;-53,2023;-31.637;-53.2023;;Localização não identificada
23/08/2024;;2024;8;23;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;;Cachoeira do Sul;;Vestígio;Exata;;Tatiane Trigo;-30,2600;-53,0700;-30.26;-53.07;;Área: Cachoeira do Sul
01/04/2024;;2024;4;1;Felidae;Leopardus guttulus;Gato-do-mato-pequeno;Silvestre;Pintado;Estrada da Ponta Grossa;;Vestígio;Exata;;Júlio Cézar Bicca, 2024;-30,1757;-51,2147;-30.1757;-51.2147;;Área: Estrada da Ponta Grossa
02/04/2024;;2024;4;2;Felidae;Leopardus pardalis;Jaguatirica;Silvestre;Pintado;BR-101;;Vestígio;Aproximada Google Maps;;Emanuelle Pasa, 2024;-29,6541;-50,1234;-29.6541;-50.1234;BR-101;BR-101
03/04/2024;;2024;4;3;Felidae;Herpailurus yagouaroundi;Gato-mourisco;Silvestre;Marrom;;;Vestígio;Exata;;Col: Suelen Segui;-31,5472;-53,6952;-31.5472;-53.6952;;Localização não identificada
13/04/2024;10:08;2024;4;13;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;RS-129;;Vestígio;Exata;;Col: João Fábio Soares;-28,4533;-51,8447;-28.4533;-51.8447;RS-129;RS-129
22/04/2024;9:55;2024;4;22;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;BR-116, km461;;Vestígio;Exata;;Leonardo Vilagran, 2024;-31,2930;-52,0100;-31.293;-52.01;BR-116;BR-116
25/04/2024;;2024;4;25;Felidae;Leopardus guttulus;Gato-do-mato-pequeno;Silvestre;Pintado;RS-453;;Vestígio;Exata;;Flávia Tirelli, 2024;-29,4759;-51,8828;-29.4759;-51.8828;RS-453;RS-453
